id;title;description;deck;deck_content_type;category_id
1;ability Hat Iraq;magenta Concrete;../fake-data/blob/hipster.png;image/png;1
2;User-centric Gloves;Mauritania;../fake-data/blob/hipster.png;image/png;2
3;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;../fake-data/blob/hipster.png;image/png;3
4;mission-critical;Berkshire Small Plastic Pants Investor;../fake-data/blob/hipster.png;image/png;4
5;Canadian Dollar;Berkshire Designer;../fake-data/blob/hipster.png;image/png;5
6;Credit Card Account;navigate;../fake-data/blob/hipster.png;image/png;6
7;Re-contextualized;web-enabled invoice withdrawal;../fake-data/blob/hipster.png;image/png;7
8;bypassing optical;installation;../fake-data/blob/hipster.png;image/png;8
9;Argentine Peso;Kentucky Algerian Dinar Clothing;../fake-data/blob/hipster.png;image/png;9
10;open-source turn-key;Sausages;../fake-data/blob/hipster.png;image/png;10
