id;title;short_description;task_description;solution;category_id
1;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;1
2;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2
3;Agent;Human deposit;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;3
4;even-keeled Saint Helena Pound;Internal AI optical;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;4
5;bypassing Marketing;Dynamic Home Loan Account Tools;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;5
6;Branding;Home Gloves Latvia;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;6
7;Ports Manager Fish;Networked;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;7
8;Fish;payment calculating;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;8
9;local area network Benin;turn-key dedicated;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;9
10;Wisconsin;target Human withdrawal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;10
